Time [s];Reservoir_from_Reservoir;Reservoir_from_Tank;Reservoir_from_World;Reservoir_from_NEW;Tank_from_Reservoir;Tank_from_Tank;Tank_from_World;Tank_from_NEW;World_from_Reservoir;World_from_Tank;World_from_World;World_from_NEW;OUT_from_Reservoir;OUT_from_Tank;OUT_from_World;OUT_from_NEW
0.740071;47254;0;0;0;0;34614;752;0;664;806;44220;0;0;0;0;0
0.750075;46658;0;0;0;0;34584;576;0;596;782;45114;0;0;0;0;0
0.760053;46082;0;0;0;0;34403;716;0;576;757;45776;0;0;0;0;0
0.770011;45533;0;0;0;0;34371;633;0;549;748;46476;0;0;0;0;0
0.780016;44973;0;0;0;0;34260;638;0;560;744;47135;0;0;0;0;0
0.790026;44416;0;0;0;0;34169;579;0;557;729;47860;0;0;0;0;0
0.80002;43841;0;0;0;0;34019;652;0;575;729;48494;0;0;0;0;0
0.810042;43334;0;0;0;0;33959;510;0;507;712;49288;0;0;0;0;0
0.820073;42829;0;0;0;0;33772;667;0;505;697;49840;0;0;0;0;0
0.830037;42383;0;0;0;0;33726;567;0;446;713;50475;0;0;0;0;0
0.840042;41849;0;0;0;0;33625;580;0;534;668;51054;0;0;0;0;0
0.850034;41386;0;0;0;0;33554;489;0;463;651;51767;0;0;0;0;0
0.860073;40939;0;0;0;0;33375;588;0;447;668;52293;0;0;0;0;0
0.870002;40493;0;0;0;0;33336;537;0;446;627;52871;0;0;0;0;0
0.880076;40035;0;0;0;0;33237;480;0;458;636;53464;0;0;0;0;0
0.890053;39636;0;0;0;0;33075;527;0;399;642;54031;0;0;0;0;0
0.900064;39205;0;0;0;0;32997;488;0;431;605;54584;0;0;0;0;0
0.910076;38839;0;0;0;0;32862;454;0;366;623;55166;0;0;0;0;0
0.920048;38434;0;0;0;0;32725;476;0;405;591;55679;0;0;0;0;0
0.930076;38058;0;0;0;0;32616;481;0;376;585;56194;0;0;0;0;0
0.940014;37670;0;0;0;0;32506;385;0;388;591;56770;0;0;0;0;0
0.950011;37280;0;0;0;0;32315;509;0;390;576;57240;0;0;0;0;0
0.960006;37001;0;0;0;0;32255;350;0;279;569;57856;0;0;0;0;0
0.970077;36601;0;0;0;0;32039;452;0;400;566;58252;0;0;0;0;0
0.980023;36281;0;0;0;0;31947;444;0;320;544;58774;0;0;0;0;0
0.990015;35961;0;0;0;0;31849;369;0;320;542;59269;0;0;0;0;0
1.00002;35619;0;0;0;0;31677;398;0;342;541;59733;0;0;0;0;0
1.01004;35347;0;0;0;0;31553;374;0;272;522;60242;0;0;0;0;0
1.02008;35039;0;0;0;0;31408;313;0;308;519;60723;0;0;0;0;0
1.03005;34720;0;0;0;0;31210;405;0;319;511;61145;0;0;0;0;0
1.04005;34482;0;0;0;0;31104;332;0;238;511;61643;0;0;0;0;0
1.05001;34185;0;0;0;0;30931;368;0;297;505;62024;0;0;0;0;0
1.06001;33895;0;0;0;0;30804;295;0;290;495;62531;0;0;0;0;0
1.07001;33615;0;0;0;0;30605;330;0;280;494;62986;0;0;0;0;0
1.08003;33322;0;0;0;0;30477;303;0;293;458;63457;0;0;0;0;0
1.09004;33146;0;0;0;0;30288;297;0;176;492;63911;0;0;0;0;0
1.10002;32848;0;0;0;0;30120;339;0;298;465;64240;0;0;0;0;0
1.11001;32621;0;0;0;0;30011;301;0;227;448;64702;0;0;0;0;0
1.12;32372;0;0;0;0;29859;273;0;249;453;65104;0;0;0;0;0
1.13001;32137;0;0;0;0;29695;301;0;235;437;65505;0;0;0;0;0
1.14002;31920;0;0;0;0;29572;258;0;217;424;65919;0;0;0;0;0
1.15006;31647;0;0;0;0;29397;244;0;273;433;66316;0;0;0;0;0
1.16;31453;0;0;0;0;29227;277;0;194;414;66745;0;0;0;0;0
1.17;31264;0;0;0;0;29091;255;0;189;413;67098;0;0;0;0;0
1.18003;31050;0;0;0;0;28937;274;0;214;409;67426;0;0;0;0;0
1.19007;30850;0;0;0;0;28813;214;0;200;398;67835;0;0;0;0;0
1.20002;30649;0;0;0;0;28658;245;0;201;369;68188;0;0;0;0;0
1.21003;30454;0;0;0;0;28498;269;0;195;405;68489;0;0;0;0;0
1.22007;30273;0;0;0;0;28394;205;0;181;373;68884;0;0;0;0;0
1.23005;30058;0;0;0;0;28229;209;0;215;370;69229;0;0;0;0;0
1.24004;29868;0;0;0;0;28081;236;0;190;357;69578;0;0;0;0;0
1.25005;29684;0;0;0;0;27965;202;0;184;352;69923;0;0;0;0;0
1.26007;29505;0;0;0;0;27811;224;0;179;356;70235;0;0;0;0;0
1.27004;29345;0;0;0;0;27695;218;0;160;340;70552;0;0;0;0;0
1.28004;29177;0;0;0;0;27574;196;0;168;339;70856;0;0;0;0;0
1.29001;29036;0;0;0;0;27435;202;0;141;335;71161;0;0;0;0;0
1.30002;28852;0;0;0;0;27321;198;0;184;316;71439;0;0;0;0;0
1.31003;28695;0;0;0;0;27202;171;0;157;317;71768;0;0;0;0;0
1.32001;28516;0;0;0;0;27056;178;0;179;317;72064;0;0;0;0;0
1.33002;28380;0;0;0;0;26930;189;0;136;304;72371;0;0;0;0;0
1.34004;28229;0;0;0;0;26832;179;0;151;287;72632;0;0;0;0;0
1.35001;28093;0;0;0;0;26716;174;0;136;295;72896;0;0;0;0;0
1.36002;27924;0;0;0;0;26599;157;0;169;291;73170;0;0;0;0;0
1.37008;27774;0;0;0;0;26476;181;0;150;280;73449;0;0;0;0;0
1.38005;27655;0;0;0;0;26370;188;0;119;287;73691;0;0;0;0;0
1.39003;27523;0;0;0;0;26288;126;0;132;270;73971;0;0;0;0;0
1.40003;27387;0;0;0;0;26153;147;0;136;261;74226;0;0;0;0;0
1.41004;27248;0;0;0;0;26048;167;0;139;252;74456;0;0;0;0;0
1.42006;27131;0;0;0;0;25954;146;0;117;261;74701;0;0;0;0;0
1.43007;27008;0;0;0;0;25859;129;0;123;241;74950;0;0;0;0;0
1.44002;26901;0;0;0;0;25757;145;0;107;231;75169;0;0;0;0;0
1.45003;26775;0;0;0;0;25655;137;0;126;247;75370;0;0;0;0;0
1.46006;26654;0;0;0;0;25574;135;0;121;218;75608;0;0;0;0;0
1.47001;26536;0;0;0;0;25483;117;0;118;226;75830;0;0;0;0;0
1.48007;26442;0;0;0;0;25386;139;0;94;214;76035;0;0;0;0;0
1.49004;26333;0;0;0;0;25331;112;0;109;194;76231;0;0;0;0;0
1.50003;26228;0;0;0;0;25236;124;0;105;207;76410;0;0;0;0;0
1.51008;26114;0;0;0;0;25174;130;0;114;186;76592;0;0;0;0;0
1.52007;26005;0;0;0;0;25117;101;0;109;187;76791;0;0;0;0;0
1.53001;25897;0;0;0;0;25059;86;0;108;159;77001;0;0;0;0;0
1.54001;25823;0;0;0;0;24978;120;0;74;167;77148;0;0;0;0;0
1.55003;25723;0;0;0;0;24958;113;0;100;140;77276;0;0;0;0;0
1.56003;25641;0;0;0;0;24905;102;0;82;166;77414;0;0;0;0;0
1.57002;25572;0;0;0;0;24878;80;0;69;129;77582;0;0;0;0;0
1.58002;25447;0;0;0;0;24847;102;0;125;111;77678;0;0;0;0;0
1.59003;25366;0;0;0;0;24837;79;0;81;112;77835;0;0;0;0;0
1.60003;25294;0;0;0;0;24829;93;0;72;87;77935;0;0;0;0;0
