Part;Time [s];Np;ForceFluid.x [N];ForceFluid.y [N];ForceFluid.z [N];ForceFluid [N]
57;0.570038;39993; -1.740339970384E+01;  7.764472350074E-04; -6.633903458930E+02;  6.636185872517E+02
58;0.580021;39993; -5.727437810981E+00; -3.526116067940E+00; -6.417566246056E+02;  6.417918683371E+02
59;0.590068;39993; -6.378601703765E+00; -4.034011921066E+00; -6.256464003102E+02;  6.256919194244E+02
60;0.600039;39993;  3.992559593224E+00; -3.353069499272E+00; -6.373365018580E+02;  6.373578274468E+02
61;0.610024;39993; -6.848734033807E-01; -2.790819916379E+00; -6.484723586413E+02;  6.484787256720E+02
62;0.620030;39993;  4.575863807122E+00; -2.914851867337E+00; -6.389812364584E+02;  6.390042687157E+02
63;0.630065;39993; -1.363600536635E-01; -2.832397110847E+00; -6.421878785622E+02;  6.421941392131E+02
64;0.640038;39993;  5.593309450569E+00; -3.399505966226E+00; -6.307759839239E+02;  6.308099425712E+02
65;0.650028;39993;  6.010327564888E+00; -1.573617687450E+00; -6.188885319816E+02;  6.189197163836E+02
66;0.660064;39993;  1.192625615658E+01; -2.632042069548E+00; -6.180924146518E+02;  6.182130670582E+02
67;0.670028;39993;  1.676946461906E+01; -1.097456220974E+00; -6.267204300859E+02;  6.269457048588E+02
68;0.680068;39993;  8.854752164584E+00; -2.274887419623E+00; -6.269556123840E+02;  6.270222656720E+02
69;0.690082;39993;  1.133611976900E+01; -2.249099879782E+00; -6.192606856127E+02;  6.193685193866E+02
70;0.700071;39993;  1.479589879246E+01; -2.981207168783E+00; -6.076666576540E+02;  6.078540721601E+02
71;0.710008;39993;  1.705444213122E+01; -1.972659238646E+00; -6.083636455658E+02;  6.086058417622E+02
72;0.720074;39993;  1.882144749574E+01; -1.521706592908E+00; -6.114303666099E+02;  6.117218777267E+02
73;0.730060;39993;  1.560952465232E+01; -1.249976822429E+00; -6.147358907471E+02;  6.149353096665E+02
74;0.740071;39993;  1.819916398080E+01; -1.310144402152E+00; -6.068112194477E+02;  6.070854817038E+02
75;0.750075;39993;  1.756367026015E+01; -1.980083686792E+00; -6.015976433977E+02;  6.018572320626E+02
76;0.760053;39993;  2.095462444239E+01; -5.079442223236E-01; -5.916361280483E+02;  5.920073160907E+02
77;0.770011;39993;  2.322447999288E+01;  6.314126900314E-01; -5.849807040957E+02;  5.854418838085E+02
78;0.780016;39993;  2.623248232284E+01;  4.829150713577E-01; -5.885404091895E+02;  5.891249354633E+02
79;0.790026;39993;  2.717608638372E+01; -8.375652946000E-03; -5.941023998206E+02;  5.947236343158E+02
80;0.800020;39993;  2.984402018159E+01; -3.159416107869E-01; -5.919402334157E+02;  5.926921673988E+02
81;0.810042;39993;  2.898625642625E+01;  7.240316725520E-01; -5.877877068877E+02;  5.885024347034E+02
82;0.820073;39993;  3.072705532629E+01;  1.494681987065E+00; -5.824596493240E+02;  5.832714883259E+02
83;0.830037;39993;  2.828559504151E+01;  1.322052158542E+00; -5.766728878549E+02;  5.773676837992E+02
84;0.840042;39993;  3.118870514129E+01;  1.010343551428E+00; -5.712683276313E+02;  5.721199684307E+02
